time,X,Y,Z
0,0,1,1.05
0.01,0.105171,0.98995,1.02186
0.02,0.198224,1.00852,0.99552
0.03,0.283443,1.05218,0.970848
0.04,0.364291,1.1186,0.947826
0.05,0.443623,1.2064,0.92652
0.06,0.523845,1.31498,0.907067
0.07,0.607049,1.4444,0.889681
0.08,0.695115,1.59529,0.874649
0.09,0.789787,1.76875,0.862353
0.1,0.892745,1.96638,0.853281
0.11,1.00566,2.19018,0.848055
0.12,1.13024,2.4426,0.847463
0.13,1.26826,2.72648,0.852497
0.14,1.42162,3.04511,0.864402
0.15,1.59237,3.4022,0.884742
0.16,1.78271,3.80195,0.915478
0.17,1.99507,4.249,0.95906
0.18,2.23212,4.74849,1.01855
0.19,2.49677,5.30605,1.09778
0.2,2.79222,5.92777,1.2015
0.21,3.12199,6.62023,1.33565
0.22,3.4899,7.39033,1.50757
0.23,3.90011,8.24525,1.72638
0.24,4.3571,9.19223,2.0033
0.25,4.86561,10.2382,2.35213
0.26,5.43065,11.3895,2.78975
0.27,6.05735,12.651,3.33661
0.28,6.75081,14.0253,4.01734
0.29,7.51588,15.5115,4.86125
0.3,8.35678,17.1034,5.90264
0.31,9.27667,18.7874,7.18091
0.32,10.2769,20.5396,8.74005
0.33,11.3563,22.3224,10.6272
0.34,12.5096,24.0809,12.8901
0.35,13.7265,25.7385,15.5722
0.36,14.9898,27.1943,18.7056
0.37,16.2734,28.3212,22.3011
0.38,17.5405,28.9686,26.3354
0.39,18.7424,28.9709,30.7363
0.4,19.8181,28.1644,35.3696
0.41,20.6959,26.4134,40.0314
0.42,21.2972,23.6455,44.4524
0.43,21.5442,19.8864,48.3222
0.44,21.3698,15.2863,51.333
0.45,20.73,10.1214,53.2403
0.46,19.6143,4.76112,53.9221
0.47,18.0522,-0.396679,53.4155
0.48,16.1119,-5.00377,51.912
0.49,13.8912,-8.82549,49.7105
0.5,11.502,-11.7678,47.1461
0.51,9.05472,-13.8627,44.5223
0.52,6.64448,-15.227,42.0675
0.53,4.34424,-16.0133,39.9233
0.54,2.20322,-16.373,38.1541
0.55,0.249546,-16.4333,36.7691
0.56,-1.505,-16.2901,35.7424
0.57,-3.05996,-16.0093,35.0309
0.58,-4.42185,-15.6321,34.5844
0.59,-5.60084,-15.1824,34.3522
0.6,-6.60855,-14.6723,34.2862
0.61,-7.45662,-14.1073,34.3418
0.62,-8.15607,-13.4903,34.4786
0.63,-8.71708,-12.8236,34.6604
0.64,-9.14897,-12.1113,34.8549
0.65,-9.46052,-11.3592,35.0344
0.66,-9.66021,-10.5763,35.1755
0.67,-9.75655,-9.77332,35.2596
0.68,-9.75831,-8.96326,35.2729
0.69,-9.6747,-8.1599,35.2066
0.7,-9.51538,-7.37717,35.0565
0.71,-9.29051,-6.62821,34.8225
0.72,-9.01051,-5.92458,34.5081
0.73,-8.68596,-5.27568,34.1198
0.74,-8.3273,-4.68843,33.6659
0.75,-7.9446,-4.16713,33.156
0.76,-7.54732,-3.71357,32.6001
0.77,-7.14412,-3.32732,32.0081
0.78,-6.7427,-3.0061,31.3892
0.79,-6.34972,-2.74622,30.7516
0.8,-5.97074,-2.54302,30.1027
0.81,-5.61024,-2.39129,29.4486
0.82,-5.2717,-2.28558,28.7942
0.83,-4.95765,-2.22053,28.1436
0.84,-4.66978,-2.19106,27.4999
0.85,-4.40909,-2.19251,26.8658
0.86,-4.17597,-2.22073,26.2429
0.87,-3.97034,-2.27216,25.6328
0.88,-3.79174,-2.34378,25.0365
0.89,-3.63946,-2.43316,24.4548
0.9,-3.51259,-2.53838,23.8884
0.91,-3.41013,-2.65802,23.3378
0.92,-3.33103,-2.79109,22.8034
0.93,-3.27424,-2.937,22.2857
0.94,-3.23878,-3.09553,21.7851
0.95,-3.22371,-3.26671,21.302
0.96,-3.22823,-3.45089,20.8369
0.97,-3.25165,-3.64861,20.3905
0.98,-3.2934,-3.86061,19.9632
0.99,-3.35305,-4.08782,19.556
1,-3.43033,-4.33129,19.1696
1.01,-3.52508,-4.59219,18.8052
1.02,-3.63731,-4.87179,18.4639
1.03,-3.76714,-5.17143,18.1472
1.04,-3.91483,-5.49249,17.8566
1.05,-4.08076,-5.83637,17.5941
1.06,-4.2654,-6.20449,17.362
1.07,-4.46933,-6.59816,17.1626
1.08,-4.69322,-7.01864,16.999
1.09,-4.93779,-7.46699,16.8745
1.1,-5.20379,-7.94405,16.7928
1.11,-5.49198,-8.45034,16.7582
1.12,-5.80312,-8.9859,16.7755
1.13,-6.13785,-9.55023,16.85
1.14,-6.49673,-10.1421,16.9875
1.15,-6.88012,-10.7592,17.1945
