X,Y,Z
0,1,1.05
-0.132592,0.966965,1.02359
-0.255266,0.965017,0.999944
-0.363192,0.986599,0.978718
-0.456601,1.02404,0.959806
-0.538248,1.07215,0.9433
-0.611291,1.12796,0.929453
-0.678475,1.18994,0.918675
-0.741986,1.25734,0.911538
-0.803522,1.32984,0.908796
-0.864399,1.40735,0.911426
-0.925639,1.48993,0.920671
-0.988052,1.57772,0.938106
-1.05229,1.67091,0.965719
-1.11886,1.76971,1.00601
-1.18821,1.87438,1.06214
-1.26069,1.98517,1.13805
-1.33658,2.10232,1.23869
-1.41611,2.22608,1.37026
-1.49945,2.35666,1.54046
-1.58667,2.49426,1.75887
-1.67778,2.63899,2.03734
-1.77268,2.79088,2.39043
-1.87112,2.94985,2.83589
-1.97265,3.11564,3.39517
-2.0766,3.28778,4.09386
-2.18198,3.46549,4.96195
-2.28743,3.64764,6.03384
-2.39107,3.8326,7.34775
-2.49044,4.01816,8.9443
-2.58235,4.20142,10.8638
-2.66285,4.37871,13.1421
-2.72708,4.54549,15.8036
-2.76937,4.6964,18.8539
-2.78334,4.82541,22.2687
-2.76222,4.92611,25.985
-2.69935,4.99223,29.8933
-2.58891,5.01834,33.8375
-2.42675,5.00075,37.6238
-2.21137,4.93828,41.0409
-1.94459,4.83301,43.8904
-1.63207,4.69041,46.0186
-1.28332,4.519,47.3428
-0.911201,4.32914,47.8622
-0.530935,4.13129,47.6523
-0.15835,3.9339,46.8434
0.192422,3.74193,45.5932
0.511242,3.55672,44.0602
0.793194,3.3773,42.3844
1.03821,3.20216,40.6766
1.24956,3.03051,39.0161
1.43213,2.86271,37.4538
1.59109,2.70002,36.017
1.73107,2.54422,34.7164
1.85582,2.39714,33.5514
1.96814,2.26041,32.514
2.07004,2.13519,31.5932
2.16287,2.02212,30.7764
2.24763,1.92138,30.0508
2.32505,1.8327,29.4049
2.39577,1.75552,28.8282
2.46039,1.6891,28.3118
2.51951,1.63258,27.848
2.57372,1.58507,27.4306
2.62363,1.54568,27.0544
2.6698,1.51359,26.7155
2.71278,1.48798,26.4105
2.75309,1.46814,26.1369
2.7912,1.45337,25.8929
2.8275,1.44306,25.677
2.86237,1.43663,25.4882
2.89611,1.43356,25.3256
2.92896,1.43336,25.1889
2.96114,1.43557,25.0778
2.99278,1.43978,24.9919
3.024,1.44561,24.9313
3.05485,1.45268,24.8958
3.08534,1.46066,24.8854
3.11546,1.46922,24.9
3.14515,1.47806,24.9392
3.17433,1.48689,25.0029
3.20288,1.49544,25.0905
