time,angle,x,y
0,0.785398,0.707107,-0.707107
0.02,0.751511,0.682743,-0.730658
0.04,0.684904,0.632598,-0.77448
0.06,0.58798,0.554681,-0.832063
0.08,0.464473,0.447952,-0.894058
0.1,0.319499,0.314091,-0.949393
0.12,0.159473,0.158798,-0.987311
0.14,-0.0081639,-0.00816381,-0.999967
0.16,-0.175409,-0.174511,-0.984655
0.18,-0.334292,-0.3281,-0.944643
0.2,-0.47745,-0.459516,-0.88817
0.22,-0.598587,-0.563475,-0.826133
0.24,-0.692719,-0.638632,-0.769512
0.26,-0.756246,-0.686195,-0.727417
0.28,-0.786887,-0.708159,-0.706053
0.3,-0.783591,-0.705828,-0.708383
0.32,-0.746469,-0.679051,-0.734091
0.34,-0.676803,-0.626304,-0.779579
0.36,-0.577123,-0.545615,-0.838036
0.38,-0.451295,-0.436131,-0.899883
0.4,-0.304565,-0.299879,-0.953977
0.42,-0.143465,-0.142973,-0.989727
0.44,0.024488,0.0244856,-0.9997
0.46,0.191267,0.190103,-0.981764
0.48,0.348936,0.341898,-0.939737
0.5,0.49022,0.47082,-0.88223
0.52,0.60894,0.571998,-0.820255
0.54,0.700247,0.644407,-0.764683
0.56,0.760672,0.689409,-0.724373
0.58,0.788058,0.708985,-0.705223
0.6,0.781467,0.704321,-0.709881
0.62,0.741121,0.675115,-0.737712
0.64,0.668421,0.619748,-0.784801
0.66,0.566021,0.536278,-0.844042
0.68,0.43792,0.424057,-0.905636
0.7,0.289496,0.28547,-0.958388
0.72,0.127392,0.127048,-0.991897
0.74,-0.0408011,-0.0407898,-0.999168
0.76,-0.207039,-0.205563,-0.978644
0.78,-0.363426,-0.355479,-0.934684
0.8,-0.502777,-0.481861,-0.876248
0.82,-0.619035,-0.58025,-0.814439
0.84,-0.707485,-0.649925,-0.759999
0.86,-0.764789,-0.692384,-0.721529
0.88,-0.78891,-0.709586,-0.704619
0.9,-0.779025,-0.702586,-0.711599
0.92,-0.73547,-0.670936,-0.741516
0.94,-0.65976,-0.612928,-0.790139
0.96,-0.554677,-0.526669,-0.850071
0.98,-0.424354,-0.411732,-0.911305
1,-0.274298,-0.270872,-0.962615
1.02,-0.111262,-0.111032,-0.993817
1.04,0.0570957,0.0570647,-0.99837
1.06,0.222719,0.220882,-0.975301
1.08,0.377756,0.368836,-0.929495
1.1,0.515117,0.492637,-0.870235
1.12,0.628869,0.588231,-0.808693
1.14,0.714431,0.655188,-0.755466
1.16,0.768594,0.695125,-0.718889
1.18,0.789443,0.709961,-0.704241
1.2,0.776268,0.700621,-0.713533
1.22,0.729517,0.666509,-0.745497
1.24,0.650823,0.605842,-0.795585
1.26,0.543096,0.516789,-0.856113
1.28,0.410602,0.399161,-0.916881
1.3,0.258978,0.256093,-0.966652
1.32,0.0950817,0.0949385,-0.995483
1.34,-0.0733647,-0.0732989,-0.99731
1.36,-0.238298,-0.236049,-0.971741
1.38,-0.391919,-0.381963,-0.924178
1.4,-0.527235,-0.503146,-0.864201
1.42,-0.638439,-0.595942,-0.803027
1.44,-0.721082,-0.660198,-0.751092
1.46,-0.772086,-0.697631,-0.716457
1.48,-0.789657,-0.710111,-0.704089
1.5,-0.773196,-0.698426,-0.715682
1.52,-0.723264,-0.661835,-0.74965
1.54,-0.641614,-0.598489,-0.801131
1.56,-0.531282,-0.506639,-0.862158
1.58,-0.39667,-0.386349,-0.922353
1.6,-0.243543,-0.241142,-0.97049
1.62,-0.0788587,-0.078777,-0.996892
1.64,0.0896005,0.0894806,-0.995989
1.66,0.253771,0.251056,-0.967972
1.68,0.405911,0.394856,-0.918743
1.7,0.539127,0.513387,-0.858157
1.72,0.64774,0.603385,-0.79745
1.74,0.727436,0.664957,-0.746882
1.76,0.775264,0.699905,-0.714236
1.78,0.789551,0.710037,-0.704164
1.8,0.769809,0.695998,-0.718043
1.82,0.716713,0.65691,-0.753969
1.84,0.632135,0.590868,-0.806768
1.86,0.51924,0.49622,-0.868197
1.88,0.382564,0.3733,-0.927711
1.9,0.227998,0.226028,-0.974121
1.92,0.0626002,0.0625593,-0.998041
1.94,-0.105796,-0.105599,-0.994409
1.96,-0.269131,-0.265894,-0.964002
1.98,-0.419724,-0.407508,-0.913201
2,-0.550787,-0.523358,-0.852113
2.02,-0.656769,-0.610561,-0.791969
2.04,-0.73349,-0.669467,-0.742842
