time,angle,x,y
0,0.785398,0.707107,-0.707107
0.02,0.782623,0.705142,-0.709066
0.04,0.777082,0.701202,-0.712963
0.06,0.768789,0.695265,-0.718753
0.08,0.757767,0.687301,-0.726372
0.1,0.744049,0.677272,-0.735732
0.12,0.727673,0.665134,-0.746724
0.14,0.708687,0.650837,-0.759217
0.16,0.687147,0.634334,-0.773059
0.18,0.663118,0.615577,-0.788077
0.2,0.636674,0.594524,-0.804078
0.22,0.607896,0.571142,-0.820851
0.24,0.576878,0.545409,-0.83817
0.26,0.543719,0.517322,-0.855791
0.28,0.50853,0.486894,-0.873461
0.3,0.471431,0.454161,-0.890919
0.32,0.432549,0.419187,-0.9079
0.34,0.392023,0.382059,-0.924138
0.36,0.349997,0.342895,-0.939374
0.38,0.306626,0.301844,-0.953357
0.4,0.262071,0.259081,-0.965856
0.42,0.216499,0.214811,-0.976656
0.44,0.170084,0.169265,-0.985571
0.46,0.123004,0.122695,-0.992444
0.48,0.0754438,0.0753722,-0.997155
0.5,0.0275873,0.0275838,-0.999619
0.52,-0.0203774,-0.0203759,-0.999792
0.54,-0.0682621,-0.0682091,-0.997671
0.56,-0.115879,-0.11562,-0.993294
0.58,-0.163043,-0.162321,-0.986738
0.6,-0.209569,-0.208038,-0.978121
0.62,-0.255279,-0.252515,-0.967593
0.64,-0.299998,-0.295519,-0.955337
0.66,-0.343558,-0.336839,-0.941562
0.68,-0.385796,-0.376297,-0.926499
0.7,-0.426557,-0.413739,-0.910396
0.72,-0.465695,-0.449044,-0.89351
0.74,-0.503071,-0.482118,-0.876106
0.76,-0.538554,-0.512896,-0.858451
0.78,-0.572026,-0.541336,-0.840806
0.8,-0.603373,-0.567423,-0.823427
0.82,-0.632493,-0.591158,-0.806556
0.84,-0.659294,-0.612559,-0.790425
0.86,-0.683691,-0.631659,-0.775246
0.88,-0.70561,-0.648498,-0.761216
0.9,-0.724983,-0.663123,-0.74851
0.92,-0.741755,-0.675583,-0.737284
0.94,-0.755876,-0.685926,-0.727671
0.96,-0.767305,-0.694198,-0.719784
0.98,-0.77601,-0.700437,-0.713714
1,-0.781967,-0.704676,-0.709529
1.02,-0.785158,-0.706937,-0.707277
1.04,-0.785575,-0.707232,-0.706981
1.06,-0.783218,-0.705563,-0.708647
1.08,-0.778091,-0.701921,-0.712255
1.1,-0.770211,-0.696286,-0.717764
1.12,-0.759598,-0.68863,-0.725113
1.14,-0.746282,-0.678914,-0.734218
1.16,-0.730303,-0.667096,-0.744972
1.18,-0.711706,-0.653127,-0.757249
1.2,-0.690547,-0.636959,-0.770898
1.22,-0.666887,-0.618543,-0.785751
1.24,-0.640801,-0.597838,-0.801617
1.26,-0.612369,-0.574807,-0.818289
1.28,-0.581681,-0.549429,-0.83554
1.3,-0.548837,-0.521696,-0.853132
1.32,-0.513946,-0.491618,-0.870811
1.34,-0.477126,-0.459228,-0.888318
1.36,-0.438504,-0.424586,-0.905388
1.38,-0.398216,-0.387775,-0.921754
1.4,-0.356406,-0.348909,-0.937157
1.42,-0.313228,-0.308131,-0.951344
1.44,-0.26884,-0.265613,-0.96408
1.46,-0.223409,-0.221556,-0.975148
1.48,-0.17711,-0.176185,-0.984357
1.5,-0.130119,-0.129752,-0.991546
1.52,-0.0826188,-0.0825248,-0.996589
1.54,-0.0347949,-0.0347879,-0.999395
1.56,0.0131656,0.0131652,-0.999913
1.58,0.0610743,0.0610364,-0.998136
1.6,0.108744,0.108529,-0.994093
1.62,0.155987,0.155355,-0.987859
1.64,0.202621,0.201237,-0.979543
1.66,0.248465,0.245916,-0.969291
1.68,0.293344,0.289155,-0.957282
1.7,0.337089,0.330741,-0.943722
1.72,0.379535,0.370489,-0.928837
1.74,0.420528,0.408243,-0.912873
1.76,0.459919,0.443876,-0.896088
1.78,0.497568,0.47729,-0.878746
1.8,0.533345,0.508416,-0.861111
1.82,0.567126,0.53721,-0.843449
1.84,0.598799,0.563651,-0.826013
1.86,0.628261,0.587738,-0.809051
1.88,0.655416,0.609489,-0.792795
1.9,0.680179,0.628932,-0.77746
1.92,0.702475,0.646109,-0.763245
1.94,0.722235,0.661063,-0.75033
1.96,0.739401,0.673846,-0.738872
1.98,0.753924,0.684504,-0.729009
2,0.76576,0.693085,-0.720856
2.02,0.774876,0.699628,-0.714508
2.04,0.781247,0.704166,-0.710036
2.06,0.784855,0.706723,-0.707491
2.08,0.78569,0.707313,-0.7069
2.1,0.783749,0.70594,-0.708272
2.12,0.779039,0.702596,-0.711589
2.14,0.771571,0.697262,-0.716816
2.16,0.761367,0.689912,-0.723894
2.18,0.748456,0.680508,-0.732741
2.2,0.732874,0.669009,-0.743254
2.22,0.714668,0.655367,-0.755311
2.24,0.69389,0.639532,-0.768764
2.26,0.670602,0.621458,-0.783448
2.28,0.644876,0.601099,-0.799175
2.3,0.61679,0.57842,-0.815739
2.32,0.586436,0.553396,-0.832918
2.34,0.553909,0.526016,-0.850475
2.36,0.519319,0.496289,-0.868157
2.38,0.482781,0.464244,-0.885707
2.4,0.444422,0.429936,-0.902859
2.42,0.404375,0.393444,-0.919348
2.44,0.362785,0.354879,-0.934912
2.46,0.319802,0.314378,-0.949298
2.48,0.275585,0.27211,-0.962266
2.5,0.2303,0.22827,-0.973598
2.52,0.18412,0.183082,-0.983098
2.54,0.137222,0.136792,-0.9906
2.56,0.0897865,0.0896659,-0.995972
2.58,0.0419993,0.041987,-0.999118
2.6,-0.0059526,-0.00595256,-0.999982
2.62,-0.0538812,-0.0538551,-0.998549
2.64,-0.101598,-0.101424,-0.994843
2.66,-0.148918,-0.148368,-0.988932
2.68,-0.195655,-0.194409,-0.980921
2.7,-0.241629,-0.239285,-0.970949
2.72,-0.286664,-0.282754,-0.959192
2.74,-0.33059,-0.324601,-0.945851
2.76,-0.373242,-0.364636,-0.93115
2.78,-0.414463,-0.402698,-0.915333
2.8,-0.454104,-0.438657,-0.898654
2.82,-0.492024,-0.47241,-0.881379
2.84,-0.52809,-0.503884,-0.863771
2.86,-0.562178,-0.53303,-0.846096
2.88,-0.594175,-0.559826,-0.82861
2.9,-0.623976,-0.584266,-0.811562
2.92,-0.651483,-0.606367,-0.795185
2.94,-0.676612,-0.626155,-0.779699
2.96,-0.699283,-0.643669,-0.765304
2.98,-0.719428,-0.658955,-0.752183
3,-0.736988,-0.672061,-0.740496
3.02,-0.751911,-0.683035,-0.730385
3.04,-0.764153,-0.691926,-0.721969
3.06,-0.77368,-0.698773,-0.715344
3.08,-0.780465,-0.70361,-0.710586
3.1,-0.78449,-0.706464,-0.707749
3.12,-0.785742,-0.70735,-0.706864
3.14,-0.784218,-0.706272,-0.707941
3.16,-0.779923,-0.703225,-0.710967
3.18,-0.772869,-0.698192,-0.71591
3.2,-0.763075,-0.691147,-0.722714
